Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Emilio Pagán,RP,L,R,MIN,33,6.091,1.178116322,0.347321153,1,5000000,5000000,,CIN,2,16000000,8000000,,14771
Travis Jankowski,CF/RF/LF,L,R,TEX,33,6.153,1.154390574,0.322868168,,0,,,TEX,1,1700000,1700000,,13768
Sean Manaea,SP,R,L,SFG,32,7.157,1.150171876,1.937217712,2,24000000,12000000,,NYM,2,28000000,14000000,,15873
Ryan Brasier,RP,R,R,LAD,36,6.094,1.131692767,0.442960918,,0,,,LAD,2,9000000,4500000,,5615
Victor Caratini,C,S,R,MIL,30,6.051,1.130693913,1.430073142,,0,,,HOU,2,12000000,6000000,,14968
Chris Stratton,RP,R,R,TEX,33,6.100,1.125468969,0.184261546,,0,,,KCR,2,8000000,4000000,,13761
Craig Kimbrel,RP,R,R,PHI,36,12.161,1.121195674,0.440147251,1,10000000,10000000,,BAL,1,13000000,13000000,,6655
Zack Greinke,SP,R,R,KCR,40,19.057,1.108583808,0.574303448,1,7000000,7000000,,,,,,,1943
Will Smith,RP,R,L,TEX,34,10.155,1.088053107,-0.015836306,1,4000000,4000000,,KCR,1,5000000,5000000,,8048
Jordan Hicks,SP,R,R,TOR,27,6.000,1.087539196,1.869355679,3,27000000,9000000,,SFG,4,44000000,11000000,,19618
Wade Miley,SP,L,L,MIL,37,12.025,1.067929745,1.247933507,1,8000000,8000000,,MIL,1,8500000,8500000,,8779
Justin Turner,1B/3B/DH,R,R,BOS,39,13.045,1.060039163,1.034687638,1,12000000,12000000,,TOR,1,13000000,13000000,,5235
James Paxton,SP,L,L,BOS,35,9.151,1.033037543,1.849030495,1,8000000,8000000,,LAD,1,13000000,13000000,,11828
Austin Hedges,C,R,R,TEX,31,7.166,1.028231144,0.927711248,,0,,,CLE,1,4000000,4000000,,12976
Domingo Germán,SP,R,R,NYY,31,5.017,0.996728301,0.640473664,,0,,,PIT,1,0,,,17149
Trevor Gott,RP,R,R,NYM,31,5.057,0.994601965,0.003003134,,0,,,OAK,1,1500000,1500000,,15046
Robert Stephenson,RP,R,R,TBR,31,6.049,0.959683537,0.481640518,2,10000000,5000000,,LAA,3,33000000,11000000,,13594
Harrison Bader,CF,R,R,CIN,30,6.030,0.950675189,1.565383792,2,18000000,9000000,,NYM,1,10500000,10500000,,18030
Aaron Hicks,CF/LF/RF,S,R,BAL,34,10.041,0.936620951,0.606282532,,0,,,LAA,1,740000,740000,,5297
Lucas Giolito,SP,R,R,CLE,29,6.080,0.928597271,-0.000139139,2,30000000,15000000,,BOS,2,38500000,19250000,,15474
Charlie Blackmon,RF/LF/DH,L,L,COL,37,11.102,0.881386459,0.252603054,,0,,,COL,1,13000000,13000000,,7859
Héctor Neris,RP,R,R,HOU,35,8.068,0.857600689,0.418488353,2,16000000,8000000,,CHC,1,9000000,9000000,,11804
Héctor Neris,RP,R,R,HOU,35,8.068,0.857600689,0.418488353,2,16000000,8000000,,HOU,1,147204,147204,,11804
Matthew Boyd,SP,L,L,DET,33,7.136,0.854604244,0.203207031,,0,,,CLE,1,1750000,1750000,,15440
Joe Kelly,RP,R,R,LAD,36,11.029,0.847238302,0.863801718,1,7000000,7000000,,LAD,1,8000000,8000000,,9761
Tom Murphy,C,R,R,SEA,33,6.092,0.833612978,0.584011793,1,4000000,4000000,,SFG,2,8250000,4125000,,13499
Zach Davies,SP,R,R,ARI,31,8.020,0.806563199,0.201653242,,0,,,WSN,1,0,,,13183
Joey Gallo,RF/LF/1B,L,R,MIN,30,7.103,0.801985919,0.436240345,1,8000000,8000000,,WSN,1,5000000,5000000,,14128
Colin Rea,SP,R,R,MIL,33,4.057,0.788963795,1.427194834,,0,,,MIL,1,4500000,4500000,,12317
Reynaldo López,RP,R,R,CLE,30,6.004,0.764826417,1.312422991,2,12000000,6000000,,ATL,3,30000000,10000000,,16400
Mike Ford,1B/DH,L,R,SEA,31,3.008,0.756210208,-0.006407974,,0,,,CIN,1,0,,,15585
Rich Hill,SP,L,L,SDP,44,14.127,0.745836556,0.240870684,,0,,,,,,,,4806
Jakob Junis,SP,R,R,SFG,31,6.002,0.741331816,1.26766181,,0,,,MIL,1,7000000,7000000,,13619
Joc Pederson,DH/LF/RF,L,L,SFG,32,9.028,0.734919369,1.127672195,2,24000000,12000000,,ARI,1,12500000,12500000,,11899
Jesse Chavez,RP,R,R,ATL,40,13.038,0.734497726,0.238928214,,0,,,ATL,1,740000,740000,,5448
Scott Alexander,RP,L,L,SFG,34,6.080,0.68429631,0.170865834,,0,,,OAK,1,2250000,2250000,,10591
Vince Velasquez,SP,R,R,PIT,32,8.086,0.678149939,0.169095814,,0,,,,,,,,11189
Pierce Johnson,RP,R,R,ATL,33,4.137,0.666490793,0.649226069,,0,,,ATL,2,14250000,7125000,,13435
Matt Moore,RP,L,L,MIA,35,11.000,0.646787286,0.197406575,1,7000000,7000000,,LAA,1,9000000,9000000,,1890
Buck Farmer,RP,L,R,CIN,33,6.140,0.61723119,0.140809208,,0,,,CIN,1,2250000,2250000,,14814
Garrett Hampson,SS/2B/3B/OF,R,R,MIA,29,5.010,0.600334108,0.121388078,,0,,,KCR,1,2000000,2000000,,19262
